study: 1from: 4000 successful	time increment: 0.515716552734375	 total time: 0.515716552734375
study: 2from: 4000 successful	time increment: 0.29528045654296875	 total time: 0.8109970092773438
study: 3from: 4000 successful	time increment: 0.27999281883239746	 total time: 1.0909898281097412
study: 4from: 4000 successful	time increment: 0.351238489151001	 total time: 1.4422283172607422
study: 5from: 4000 successful	time increment: 0.21432852745056152	 total time: 1.6565568447113037
study: 6from: 4000 successful	time increment: 0.08461213111877441	 total time: 1.7411689758300781
study: 7from: 4000 successful	time increment: 0.24815917015075684	 total time: 1.989328145980835
study: 8from: 4000 successful	time increment: 0.2741587162017822	 total time: 2.263486862182617
study: 9from: 4000 successful	time increment: 0.15786290168762207	 total time: 2.4213497638702393
study: 10from: 4000 successful	time increment: 0.34679245948791504	 total time: 2.7681422233581543
study: 11from: 4000 successful	time increment: 0.17355084419250488	 total time: 2.941693067550659
study: 12from: 4000 successful	time increment: 0.24093031883239746	 total time: 3.1826233863830566
study: 13from: 4000 successful	time increment: 0.1921095848083496	 total time: 3.3747329711914062
study: 14from: 4000 successful	time increment: 0.3176283836364746	 total time: 3.692361354827881
study: 15from: 4000 successful	time increment: 0.24858880043029785	 total time: 3.9409501552581787
study: 16from: 4000 successful	time increment: 0.24959707260131836	 total time: 4.190547227859497
study: 17from: 4000 successful	time increment: 0.17728519439697266	 total time: 4.36783242225647
study: 18from: 4000 successful	time increment: 0.22925734519958496	 total time: 4.597089767456055
study: 19from: 4000 successful	time increment: 0.1714920997619629	 total time: 4.768581867218018
study: 20from: 4000 successful	time increment: 0.2702469825744629	 total time: 5.0388288497924805
study: 21from: 4000 successful	time increment: 0.2112748622894287	 total time: 5.250103712081909
study: 22from: 4000 successful	time increment: 0.2742311954498291	 total time: 5.524334907531738
study: 23from: 4000 successful	time increment: 0.2532691955566406	 total time: 5.777604103088379
study: 24from: 4000 successful	time increment: 0.2552168369293213	 total time: 6.0328209400177
study: 25from: 4000 successful	time increment: 0.3508880138397217	 total time: 6.383708953857422
study: 26from: 4000 successful	time increment: 0.22786331176757812	 total time: 6.611572265625
study: 27from: 4000 successful	time increment: 0.25419092178344727	 total time: 6.865763187408447
study: 28from: 4000 successful	time increment: 0.17949724197387695	 total time: 7.045260429382324
study: 29from: 4000 successful	time increment: 0.22306489944458008	 total time: 7.268325328826904
study: 30from: 4000 successful	time increment: 0.2906210422515869	 total time: 7.558946371078491
study: 31from: 4000 successful	time increment: 0.2300889492034912	 total time: 7.789035320281982
study: 32from: 4000 successful	time increment: 0.2969810962677002	 total time: 8.086016416549683
study: 33from: 4000 successful	time increment: 0.15541815757751465	 total time: 8.241434574127197
study: 34from: 4000 successful	time increment: 0.14160799980163574	 total time: 8.383042573928833
study: 35from: 4000 successful	time increment: 0.11089062690734863	 total time: 8.493933200836182
study: 36from: 4000 successful	time increment: 0.25838232040405273	 total time: 8.752315521240234
study: 37from: 4000 successful	time increment: 0.2201704978942871	 total time: 8.972486019134521
study: 38from: 4000 successful	time increment: 0.16272926330566406	 total time: 9.135215282440186
study: 39from: 4000 successful	time increment: 0.26030397415161133	 total time: 9.395519256591797
study: 40from: 4000 successful	time increment: 0.054466962814331055	 total time: 9.449986219406128
study: 41from: 4000 successful	time increment: 0.13525795936584473	 total time: 9.585244178771973
study: 42from: 4000 successful	time increment: 0.17410826683044434	 total time: 9.759352445602417
study: 43from: 4000 successful	time increment: 0.2506258487701416	 total time: 10.009978294372559
study: 44from: 4000 successful	time increment: 0.2145395278930664	 total time: 10.224517822265625
study: 45from: 4000 successful	time increment: 0.26631617546081543	 total time: 10.49083399772644
study: 46from: 4000 successful	time increment: 0.22665190696716309	 total time: 10.717485904693604
study: 47from: 4000 successful	time increment: 0.12043190002441406	 total time: 10.837917804718018
study: 48from: 4000 successful	time increment: 0.20345020294189453	 total time: 11.041368007659912
study: 49from: 4000 successful	time increment: 0.17599225044250488	 total time: 11.217360258102417
study: 50from: 4000 successful	time increment: 0.11806488037109375	 total time: 11.33542513847351
study: 51from: 4000 successful	time increment: 0.19282960891723633	 total time: 11.528254747390747
study: 52from: 4000 successful	time increment: 0.04462552070617676	 total time: 11.572880268096924
study: 53from: 4000 successful	time increment: 0.2964131832122803	 total time: 11.869293451309204
study: 54from: 4000 successful	time increment: 0.20111680030822754	 total time: 12.070410251617432
study: 55from: 4000 successful	time increment: 0.2523996829986572	 total time: 12.322809934616089
study: 56from: 4000 successful	time increment: 0.1832716464996338	 total time: 12.506081581115723
study: 57from: 4000 successful	time increment: 0.19472312927246094	 total time: 12.700804710388184
study: 58from: 4000 successful	time increment: 0.2748708724975586	 total time: 12.975675582885742
study: 59from: 4000 successful	time increment: 0.25994372367858887	 total time: 13.235619306564331
study: 60from: 4000 successful	time increment: 0.2886040210723877	 total time: 13.524223327636719
study: 61from: 4000 successful	time increment: 0.2740023136138916	 total time: 13.79822564125061
study: 62from: 4000 successful	time increment: 0.2707674503326416	 total time: 14.068993091583252
study: 63from: 4000 successful	time increment: 0.22694802284240723	 total time: 14.29594111442566
study: 64from: 4000 successful	time increment: 0.19533228874206543	 total time: 14.491273403167725
study: 65from: 4000 successful	time increment: 0.22960114479064941	 total time: 14.720874547958374
study: 66from: 4000 successful	time increment: 0.20605087280273438	 total time: 14.926925420761108
study: 67from: 4000 successful	time increment: 0.05314373970031738	 total time: 14.980069160461426
study: 68from: 4000 successful	time increment: 0.30936193466186523	 total time: 15.289431095123291
study: 69from: 4000 successful	time increment: 0.27469730377197266	 total time: 15.564128398895264
study: 70from: 4000 successful	time increment: 0.19273996353149414	 total time: 15.756868362426758
study: 71from: 4000 successful	time increment: 0.21431660652160645	 total time: 15.971184968948364
study: 72from: 4000 successful	time increment: 0.19546842575073242	 total time: 16.166653394699097
study: 73from: 4000 successful	time increment: 0.19861412048339844	 total time: 16.365267515182495
study: 74from: 4000 successful	time increment: 0.263934850692749	 total time: 16.629202365875244
study: 75from: 4000 successful	time increment: 0.24688363075256348	 total time: 16.876085996627808
study: 76from: 4000 successful	time increment: 0.309952974319458	 total time: 17.186038970947266
study: 77from: 4000 successful	time increment: 0.34308815002441406	 total time: 17.52912712097168
study: 78from: 4000 successful	time increment: 0.26177096366882324	 total time: 17.790898084640503
study: 79from: 4000 successful	time increment: 0.22419142723083496	 total time: 18.015089511871338
study: 80from: 4000 successful	time increment: 0.34897494316101074	 total time: 18.36406445503235
study: 81from: 4000 successful	time increment: 0.1732957363128662	 total time: 18.537360191345215
study: 82from: 4000 successful	time increment: 0.26557445526123047	 total time: 18.802934646606445
study: 83from: 4000 successful	time increment: 0.24399209022521973	 total time: 19.046926736831665
study: 84from: 4000 successful	time increment: 0.27547287940979004	 total time: 19.322399616241455
study: 85from: 4000 successful	time increment: 0.05839180946350098	 total time: 19.380791425704956
study: 86from: 4000 successful	time increment: 0.30925774574279785	 total time: 19.690049171447754
study: 87from: 4000 successful	time increment: 0.20370960235595703	 total time: 19.89375877380371
study: 88from: 4000 successful	time increment: 0.22969317436218262	 total time: 20.123451948165894
study: 89from: 4000 successful	time increment: 0.16534805297851562	 total time: 20.28880000114441
study: 90from: 4000 successful	time increment: 0.1584792137145996	 total time: 20.44727921485901
study: 91from: 4000 successful	time increment: 0.2873244285583496	 total time: 20.73460364341736
study: 92from: 4000 successful	time increment: 0.13037991523742676	 total time: 20.864983558654785
study: 93from: 4000 successful	time increment: 0.3226604461669922	 total time: 21.187644004821777
study: 94from: 4000 successful	time increment: 0.23001527786254883	 total time: 21.417659282684326
study: 95from: 4000 successful	time increment: 0.2633788585662842	 total time: 21.68103814125061
study: 96from: 4000 successful	time increment: 0.1959521770477295	 total time: 21.87699031829834
study: 97from: 4000 successful	time increment: 0.2927563190460205	 total time: 22.16974663734436
study: 98from: 4000 successful	time increment: 0.2513620853424072	 total time: 22.421108722686768
study: 99from: 4000 successful	time increment: 0.322617769241333	 total time: 22.7437264919281
study: 100from: 4000 successful	time increment: 0.19083642959594727	 total time: 22.934562921524048
study: 101from: 4000 successful	time increment: 0.22314858436584473	 total time: 23.157711505889893
study: 102from: 4000 successful	time increment: 0.23425912857055664	 total time: 23.39197063446045
study: 103from: 4000 successful	time increment: 0.1693265438079834	 total time: 23.561297178268433
study: 104from: 4000 successful	time increment: 0.30719566345214844	 total time: 23.86849284172058
study: 105from: 4000 successful	time increment: 0.25609421730041504	 total time: 24.124587059020996
study: 106from: 4000 successful	time increment: 0.28417396545410156	 total time: 24.408761024475098
study: 107from: 4000 successful	time increment: 0.2886042594909668	 total time: 24.697365283966064
study: 108from: 4000 successful	time increment: 0.2182753086090088	 total time: 24.915640592575073
study: 109from: 4000 successful	time increment: 0.17738914489746094	 total time: 25.093029737472534
study: 110from: 4000 successful	time increment: 0.41114187240600586	 total time: 25.50417160987854
study: 111from: 4000 successful	time increment: 0.15069937705993652	 total time: 25.654870986938477
study: 112from: 4000 successful	time increment: 0.23179006576538086	 total time: 25.886661052703857
study: 113from: 4000 successful	time increment: 0.21641874313354492	 total time: 26.103079795837402
study: 114from: 4000 successful	time increment: 0.2529258728027344	 total time: 26.356005668640137
study: 115from: 4000 successful	time increment: 0.16644930839538574	 total time: 26.522454977035522
study: 116from: 4000 successful	time increment: 0.26517462730407715	 total time: 26.7876296043396
study: 117from: 4000 successful	time increment: 0.22692131996154785	 total time: 27.014550924301147
study: 118from: 4000 successful	time increment: 0.45142316818237305	 total time: 27.46597409248352
study: 119from: 4000 successful	time increment: 0.33710241317749023	 total time: 27.80307650566101
study: 120from: 4000 successful	time increment: 0.304088830947876	 total time: 28.107165336608887
study: 121from: 4000 successful	time increment: 0.19548845291137695	 total time: 28.302653789520264
study: 122from: 4000 successful	time increment: 0.319643497467041	 total time: 28.622297286987305
study: 123from: 4000 successful	time increment: 0.260378360748291	 total time: 28.882675647735596
study: 124from: 4000 successful	time increment: 0.16120219230651855	 total time: 29.043877840042114
study: 125from: 4000 successful	time increment: 0.29157185554504395	 total time: 29.335449695587158
study: 126from: 4000 successful	time increment: 0.21800017356872559	 total time: 29.553449869155884
study: 127from: 4000 successful	time increment: 0.23664402961730957	 total time: 29.790093898773193
study: 128from: 4000 successful	time increment: 0.2759239673614502	 total time: 30.066017866134644
study: 129from: 4000 successful	time increment: 0.2499098777770996	 total time: 30.315927743911743
study: 130from: 4000 successful	time increment: 0.24857473373413086	 total time: 30.564502477645874
study: 131from: 4000 successful	time increment: 0.21561408042907715	 total time: 30.78011655807495
study: 132from: 4000 successful	time increment: 0.23885059356689453	 total time: 31.018967151641846
study: 133from: 4000 successful	time increment: 0.18050408363342285	 total time: 31.19947123527527
study: 134from: 4000 successful	time increment: 0.2416212558746338	 total time: 31.441092491149902
study: 135from: 4000 successful	time increment: 0.301058292388916	 total time: 31.74215078353882
study: 136from: 4000 successful	time increment: 0.2506883144378662	 total time: 31.992839097976685
study: 137from: 4000 successful	time increment: 0.33997583389282227	 total time: 32.33281493186951
study: 138from: 4000 successful	time increment: 0.26671862602233887	 total time: 32.599533557891846
study: 139from: 4000 successful	time increment: 0.1797499656677246	 total time: 32.77928352355957
study: 140from: 4000 successful	time increment: 0.31589269638061523	 total time: 33.095176219940186
study: 141from: 4000 successful	time increment: 0.2436065673828125	 total time: 33.338782787323
study: 142from: 4000 successful	time increment: 0.2068169116973877	 total time: 33.545599699020386
study: 143from: 4000 successful	time increment: 0.224959135055542	 total time: 33.77055883407593
study: 144from: 4000 successful	time increment: 0.18482184410095215	 total time: 33.95538067817688
study: 145from: 4000 successful	time increment: 0.28238534927368164	 total time: 34.23776602745056
study: 146from: 4000 successful	time increment: 0.19039440155029297	 total time: 34.428160429000854
study: 147from: 4000 successful	time increment: 0.15949010848999023	 total time: 34.587650537490845
study: 148from: 4000 successful	time increment: 0.21723127365112305	 total time: 34.80488181114197
study: 149from: 4000 successful	time increment: 0.161118745803833	 total time: 34.9660005569458
study: 150from: 4000 successful	time increment: 0.30948853492736816	 total time: 35.27548909187317
study: 151from: 4000 successful	time increment: 0.21873068809509277	 total time: 35.49421977996826
study: 152from: 4000 successful	time increment: 0.23904633522033691	 total time: 35.7332661151886
study: 153from: 4000 successful	time increment: 0.09744596481323242	 total time: 35.83071208000183
study: 154from: 4000 successful	time increment: 0.27330827713012695	 total time: 36.10402035713196
study: 155from: 4000 successful	time increment: 0.2805757522583008	 total time: 36.38459610939026
study: 156from: 4000 successful	time increment: 0.2529597282409668	 total time: 36.637555837631226
study: 157from: 4000 successful	time increment: 0.186173677444458	 total time: 36.823729515075684
study: 158from: 4000 successful	time increment: 0.18484973907470703	 total time: 37.00857925415039
study: 159from: 4000 successful	time increment: 0.21526145935058594	 total time: 37.22384071350098
study: 160from: 4000 successful	time increment: 0.29120326042175293	 total time: 37.51504397392273
study: 161from: 4000 successful	time increment: 0.24710392951965332	 total time: 37.76214790344238
study: 162from: 4000 successful	time increment: 0.24466824531555176	 total time: 38.006816148757935
study: 163from: 4000 successful	time increment: 0.2518012523651123	 total time: 38.25861740112305
study: 164from: 4000 successful	time increment: 0.20708799362182617	 total time: 38.46570539474487
study: 165from: 4000 successful	time increment: 0.1790454387664795	 total time: 38.64475083351135
study: 166from: 4000 successful	time increment: 0.21442246437072754	 total time: 38.85917329788208
study: 167from: 4000 successful	time increment: 0.22390294075012207	 total time: 39.0830762386322
study: 168from: 4000 successful	time increment: 0.2200484275817871	 total time: 39.30312466621399
study: 169from: 4000 successful	time increment: 0.3103325366973877	 total time: 39.61345720291138
study: 170from: 4000 successful	time increment: 0.20529532432556152	 total time: 39.81875252723694
study: 171from: 4000 successful	time increment: 0.27116918563842773	 total time: 40.089921712875366
study: 172from: 4000 successful	time increment: 0.2731180191040039	 total time: 40.36303973197937
study: 173from: 4000 successful	time increment: 0.18867874145507812	 total time: 40.55171847343445
study: 174from: 4000 successful	time increment: 0.2307424545288086	 total time: 40.78246092796326
study: 175from: 4000 successful	time increment: 0.42632222175598145	 total time: 41.20878314971924
study: 176from: 4000 successful	time increment: 0.1956791877746582	 total time: 41.4044623374939
study: 177from: 4000 successful	time increment: 0.24436712265014648	 total time: 41.64882946014404
study: 178from: 4000 successful	time increment: 0.33797264099121094	 total time: 41.986802101135254
study: 179from: 4000 successful	time increment: 0.20666837692260742	 total time: 42.19347047805786
study: 180from: 4000 successful	time increment: 0.21803760528564453	 total time: 42.411508083343506
study: 181from: 4000 successful	time increment: 0.14327549934387207	 total time: 42.55478358268738
study: 182from: 4000 successful	time increment: 0.24126958847045898	 total time: 42.79605317115784
study: 183from: 4000 successful	time increment: 0.1866304874420166	 total time: 42.98268365859985
study: 184from: 4000 successful	time increment: 0.21347427368164062	 total time: 43.196157932281494
study: 185from: 4000 successful	time increment: 0.23450040817260742	 total time: 43.4306583404541
study: 186from: 4000 successful	time increment: 0.2056407928466797	 total time: 43.63629913330078
study: 187from: 4000 successful	time increment: 0.19838809967041016	 total time: 43.83468723297119
study: 188from: 4000 successful	time increment: 0.1517019271850586	 total time: 43.98638916015625
study: 189from: 4000 successful	time increment: 0.18604445457458496	 total time: 44.172433614730835
study: 190from: 4000 successful	time increment: 0.24216032028198242	 total time: 44.41459393501282
study: 191from: 4000 successful	time increment: 0.1935441493988037	 total time: 44.60813808441162
study: 192from: 4000 successful	time increment: 0.18249726295471191	 total time: 44.79063534736633
study: 193from: 4000 successful	time increment: 0.21416711807250977	 total time: 45.00480246543884
study: 194from: 4000 successful	time increment: 0.0764775276184082	 total time: 45.08127999305725
study: 195from: 4000 successful	time increment: 0.3574087619781494	 total time: 45.4386887550354
study: 196from: 4000 successful	time increment: 0.23313093185424805	 total time: 45.67181968688965
study: 197from: 4000 successful	time increment: 0.20101261138916016	 total time: 45.87283229827881
study: 198from: 4000 successful	time increment: 0.22556710243225098	 total time: 46.09839940071106
study: 199from: 4000 successful	time increment: 0.2014601230621338	 total time: 46.29985952377319
study: 200from: 4000 successful	time increment: 0.20929908752441406	 total time: 46.50915861129761
study: 201from: 4000 successful	time increment: 0.27207231521606445	 total time: 46.78123092651367
study: 202from: 4000 successful	time increment: 0.26621389389038086	 total time: 47.04744482040405
study: 203from: 4000 successful	time increment: 0.1766054630279541	 total time: 47.22405028343201
study: 204from: 4000 successful	time increment: 0.34276390075683594	 total time: 47.56681418418884
study: 205from: 4000 successful	time increment: 0.1489865779876709	 total time: 47.715800762176514
study: 206from: 4000 successful	time increment: 0.2419116497039795	 total time: 47.95771241188049
study: 207from: 4000 successful	time increment: 0.14406919479370117	 total time: 48.101781606674194
study: 208from: 4000 successful	time increment: 0.20930814743041992	 total time: 48.311089754104614
study: 209from: 4000 successful	time increment: 0.2713921070098877	 total time: 48.5824818611145
study: 210from: 4000 successful	time increment: 0.2429184913635254	 total time: 48.82540035247803
study: 211from: 4000 successful	time increment: 0.1384735107421875	 total time: 48.963873863220215
study: 212from: 4000 successful	time increment: 0.27137327194213867	 total time: 49.23524713516235
study: 213from: 4000 successful	time increment: 0.2965373992919922	 total time: 49.531784534454346
study: 214from: 4000 successful	time increment: 0.17845821380615234	 total time: 49.7102427482605
study: 215from: 4000 successful	time increment: 0.23461294174194336	 total time: 49.94485569000244
