study: 1from: 200 successful	time increment: 2.2284767627716064	 total time: 2.2284767627716064
study: 2from: 200 successful	time increment: 0.052436113357543945	 total time: 2.2809128761291504
study: 3from: 200 successful	time increment: 0.07265496253967285	 total time: 2.3535678386688232
study: 4from: 200 successful	time increment: 0.18790578842163086	 total time: 2.541473627090454
study: 5from: 200 successful	time increment: 0.09614801406860352	 total time: 2.6376216411590576
study: 6from: 200 successful	time increment: 0.03543567657470703	 total time: 2.6730573177337646
study: 7from: 200 successful	time increment: 0.061717987060546875	 total time: 2.7347753047943115
study: 8from: 200 successful	time increment: 0.018036842346191406	 total time: 2.752812147140503
study: 9from: 200 successful	time increment: 0.0938727855682373	 total time: 2.8466849327087402
study: 10from: 200 successful	time increment: 0.05879378318786621	 total time: 2.9054787158966064
study: 11from: 200 successful	time increment: 0.13105249404907227	 total time: 3.0365312099456787
study: 12from: 200 successful	time increment: 0.0757598876953125	 total time: 3.112291097640991
study: 13from: 200 successful	time increment: 0.07822847366333008	 total time: 3.1905195713043213
study: 14from: 200 successful	time increment: 0.09088873863220215	 total time: 3.2814083099365234
study: 15from: 200 successful	time increment: 0.09479379653930664	 total time: 3.37620210647583
study: 16from: 200 successful	time increment: 0.09866094589233398	 total time: 3.474863052368164
study: 17from: 200 successful	time increment: 0.060883283615112305	 total time: 3.5357463359832764
study: 18from: 200 successful	time increment: 0.043704986572265625	 total time: 3.579451322555542
study: 19from: 200 successful	time increment: 0.1539926528930664	 total time: 3.7334439754486084
study: 20from: 200 successful	time increment: 0.1677858829498291	 total time: 3.9012298583984375
study: 21from: 200 successful	time increment: 0.059406280517578125	 total time: 3.9606361389160156
study: 22from: 200 successful	time increment: 0.12088179588317871	 total time: 4.081517934799194
study: 23from: 200 successful	time increment: 0.09048724174499512	 total time: 4.1720051765441895
study: 24from: 200 successful	time increment: 0.03230142593383789	 total time: 4.204306602478027
study: 25from: 200 successful	time increment: 0.1447734832763672	 total time: 4.3490800857543945
study: 26from: 200 successful	time increment: 0.06795597076416016	 total time: 4.417036056518555
study: 27from: 200 successful	time increment: 0.011332511901855469	 total time: 4.42836856842041
study: 28from: 200 successful	time increment: 0.0342249870300293	 total time: 4.4625935554504395
study: 29from: 200 successful	time increment: 0.10144925117492676	 total time: 4.564042806625366
study: 30from: 200 successful	time increment: 0.06221175193786621	 total time: 4.626254558563232
study: 31from: 200 successful	time increment: 0.2019786834716797	 total time: 4.828233242034912
study: 32from: 200 successful	time increment: 0.28262948989868164	 total time: 5.110862731933594
study: 33from: 200 successful	time increment: 0.05207514762878418	 total time: 5.162937879562378
study: 34from: 200 successful	time increment: 0.04961681365966797	 total time: 5.212554693222046
study: 35from: 200 successful	time increment: 0.010717153549194336	 total time: 5.22327184677124
study: 36from: 200 successful	time increment: 0.04424118995666504	 total time: 5.267513036727905
study: 37from: 200 successful	time increment: 0.09697079658508301	 total time: 5.364483833312988
study: 38from: 200 successful	time increment: 0.029161691665649414	 total time: 5.393645524978638
study: 39from: 200 successful	time increment: 0.1004171371459961	 total time: 5.494062662124634
study: 40from: 200 successful	time increment: 0.05647587776184082	 total time: 5.550538539886475
study: 41from: 200 successful	time increment: 0.06064271926879883	 total time: 5.611181259155273
study: 42from: 200 successful	time increment: 0.0032126903533935547	 total time: 5.614393949508667
study: 43from: 200 successful	time increment: 0.16034507751464844	 total time: 5.774739027023315
study: 44from: 200 successful	time increment: 0.09517478942871094	 total time: 5.869913816452026
study: 45from: 200 successful	time increment: 0.05607342720031738	 total time: 5.925987243652344
study: 46from: 200 successful	time increment: 0.044061899185180664	 total time: 5.970049142837524
study: 47from: 200 successful	time increment: 0.08282947540283203	 total time: 6.0528786182403564
study: 48from: 200 successful	time increment: 0.11220622062683105	 total time: 6.1650848388671875
study: 49from: 200 successful	time increment: 0.0882563591003418	 total time: 6.253341197967529
study: 50from: 200 successful	time increment: 0.08588314056396484	 total time: 6.339224338531494
study: 51from: 200 successful	time increment: 0.03609466552734375	 total time: 6.375319004058838
study: 52from: 200 successful	time increment: 0.05084109306335449	 total time: 6.426160097122192
study: 53from: 200 successful	time increment: 0.1103367805480957	 total time: 6.536496877670288
study: 54from: 200 successful	time increment: 0.05134129524230957	 total time: 6.587838172912598
study: 55from: 200 successful	time increment: 0.13890790939331055	 total time: 6.726746082305908
study: 56from: 200 successful	time increment: 0.06519675254821777	 total time: 6.791942834854126
study: 57from: 200 successful	time increment: 0.03635382652282715	 total time: 6.828296661376953
study: 58from: 200 successful	time increment: 0.10426807403564453	 total time: 6.932564735412598
study: 59from: 200 successful	time increment: 0.18121552467346191	 total time: 7.11378026008606
study: 60from: 200 successful	time increment: 0.09075212478637695	 total time: 7.2045323848724365
study: 61from: 200 successful	time increment: 0.09309792518615723	 total time: 7.297630310058594
study: 62from: 200 successful	time increment: 0.12864398956298828	 total time: 7.426274299621582
study: 63from: 200 successful	time increment: 0.08061718940734863	 total time: 7.506891489028931
study: 64from: 200 successful	time increment: 0.26775026321411133	 total time: 7.774641752243042
study: 65from: 200 successful	time increment: 0.09452342987060547	 total time: 7.8691651821136475
study: 66from: 200 successful	time increment: 0.11295390129089355	 total time: 7.982119083404541
study: 67from: 200 successful	time increment: 0.06615185737609863	 total time: 8.04827094078064
study: 68from: 200 successful	time increment: 0.11543154716491699	 total time: 8.163702487945557
study: 69from: 200 successful	time increment: 0.0357213020324707	 total time: 8.199423789978027
study: 70from: 200 successful	time increment: 0.08224654197692871	 total time: 8.281670331954956
study: 71from: 200 successful	time increment: 0.09600234031677246	 total time: 8.377672672271729
study: 72from: 200 successful	time increment: 0.10967206954956055	 total time: 8.487344741821289
study: 73from: 200 successful	time increment: 0.07024788856506348	 total time: 8.557592630386353
study: 74from: 200 successful	time increment: 0.12049555778503418	 total time: 8.678088188171387
study: 75from: 200 successful	time increment: 0.1599290370941162	 total time: 8.838017225265503
study: 76from: 200 successful	time increment: 0.07481503486633301	 total time: 8.912832260131836
study: 77from: 200 successful	time increment: 0.11495399475097656	 total time: 9.027786254882812
study: 78from: 200 successful	time increment: 0.10676026344299316	 total time: 9.134546518325806
study: 79from: 200 successful	time increment: 0.027858734130859375	 total time: 9.162405252456665
study: 80from: 200 successful	time increment: 0.14214849472045898	 total time: 9.304553747177124
study: 81from: 200 successful	time increment: 0.054596900939941406	 total time: 9.359150648117065
study: 82from: 200 successful	time increment: 0.05320596694946289	 total time: 9.412356615066528
study: 83from: 200 successful	time increment: 0.11418485641479492	 total time: 9.526541471481323
study: 84from: 200 successful	time increment: 0.04999232292175293	 total time: 9.576533794403076
study: 85from: 200 successful	time increment: 0.09357357025146484	 total time: 9.670107364654541
study: 86from: 200 successful	time increment: 0.14186310768127441	 total time: 9.811970472335815
study: 87from: 200 successful	time increment: 0.09532427787780762	 total time: 9.907294750213623
study: 88from: 200 successful	time increment: 0.055281639099121094	 total time: 9.962576389312744
study: 89from: 200 successful	time increment: 0.05385637283325195	 total time: 10.016432762145996
study: 90from: 200 successful	time increment: 0.15264415740966797	 total time: 10.169076919555664
study: 91from: 200 successful	time increment: 0.05095100402832031	 total time: 10.220027923583984
study: 92from: 200 successful	time increment: 0.036370038986206055	 total time: 10.25639796257019
study: 93from: 200 successful	time increment: 0.0585935115814209	 total time: 10.314991474151611
study: 94from: 200 successful	time increment: 0.028532028198242188	 total time: 10.343523502349854
study: 95from: 200 successful	time increment: 0.09710478782653809	 total time: 10.440628290176392
study: 96from: 200 successful	time increment: 0.027651548385620117	 total time: 10.468279838562012
study: 97from: 200 successful	time increment: 0.0593416690826416	 total time: 10.527621507644653
study: 98from: 200 successful	time increment: 0.1196141242980957	 total time: 10.647235631942749
study: 99from: 200 successful	time increment: 0.12005114555358887	 total time: 10.767286777496338
study: 100from: 200 successful	time increment: 0.18160080909729004	 total time: 10.948887586593628
study: 101from: 200 successful	time increment: 0.1199643611907959	 total time: 11.068851947784424
study: 102from: 200 successful	time increment: 0.08292484283447266	 total time: 11.151776790618896
study: 103from: 200 successful	time increment: 0.04844951629638672	 total time: 11.200226306915283
study: 104from: 200 successful	time increment: 0.0506443977355957	 total time: 11.250870704650879
study: 105from: 200 successful	time increment: 0.14514493942260742	 total time: 11.396015644073486
study: 106from: 200 successful	time increment: 0.06934595108032227	 total time: 11.465361595153809
study: 107from: 200 successful	time increment: 0.019928455352783203	 total time: 11.485290050506592
study: 108from: 200 successful	time increment: 0.1078648567199707	 total time: 11.593154907226562
study: 109from: 200 successful	time increment: 0.062016963958740234	 total time: 11.655171871185303
study: 110from: 200 successful	time increment: 0.04241442680358887	 total time: 11.697586297988892
study: 111from: 200 successful	time increment: 0.09208202362060547	 total time: 11.789668321609497
study: 112from: 200 successful	time increment: 0.05682539939880371	 total time: 11.8464937210083
study: 113from: 200 successful	time increment: 0.048568010330200195	 total time: 11.895061731338501
study: 114from: 200 successful	time increment: 0.22354984283447266	 total time: 12.118611574172974
study: 115from: 200 successful	time increment: 0.08005762100219727	 total time: 12.198669195175171
study: 116from: 200 successful	time increment: 0.09157443046569824	 total time: 12.29024362564087
study: 117from: 200 successful	time increment: 0.06933331489562988	 total time: 12.359576940536499
study: 118from: 200 successful	time increment: 0.11844396591186523	 total time: 12.478020906448364
study: 119from: 200 successful	time increment: 0.18795108795166016	 total time: 12.665971994400024
study: 120from: 200 successful	time increment: 0.046660661697387695	 total time: 12.712632656097412
study: 121from: 200 successful	time increment: 0.07978200912475586	 total time: 12.792414665222168
study: 122from: 200 successful	time increment: 0.03751182556152344	 total time: 12.829926490783691
study: 123from: 200 successful	time increment: 0.07621502876281738	 total time: 12.906141519546509
study: 124from: 200 successful	time increment: 0.0819861888885498	 total time: 12.988127708435059
study: 125from: 200 successful	time increment: 0.03252243995666504	 total time: 13.020650148391724
study: 126from: 200 successful	time increment: 0.06374835968017578	 total time: 13.0843985080719
study: 127from: 200 successful	time increment: 0.21939635276794434	 total time: 13.303794860839844
study: 128from: 200 successful	time increment: 0.0570836067199707	 total time: 13.360878467559814
study: 129from: 200 successful	time increment: 0.056374311447143555	 total time: 13.417252779006958
study: 130from: 200 successful	time increment: 0.10968351364135742	 total time: 13.526936292648315
study: 131from: 200 successful	time increment: 0.032740116119384766	 total time: 13.5596764087677
study: 132from: 200 successful	time increment: 0.062310218811035156	 total time: 13.621986627578735
study: 133from: 200 successful	time increment: 0.21838951110839844	 total time: 13.840376138687134
study: 134from: 200 successful	time increment: 0.06603884696960449	 total time: 13.906414985656738
study: 135from: 200 successful	time increment: 0.06323933601379395	 total time: 13.969654321670532
study: 136from: 200 successful	time increment: 0.2149209976196289	 total time: 14.184575319290161
study: 137from: 200 successful	time increment: 0.03098893165588379	 total time: 14.215564250946045
study: 138from: 200 successful	time increment: 0.06241345405578613	 total time: 14.277977705001831
study: 139from: 200 successful	time increment: 0.037326812744140625	 total time: 14.315304517745972
study: 140from: 200 successful	time increment: 0.07883214950561523	 total time: 14.394136667251587
study: 141from: 200 successful	time increment: 0.05019354820251465	 total time: 14.444330215454102
study: 142from: 200 successful	time increment: 0.05726480484008789	 total time: 14.50159502029419
study: 143from: 200 successful	time increment: 0.0736854076385498	 total time: 14.57528042793274
study: 144from: 200 successful	time increment: 0.10547614097595215	 total time: 14.680756568908691
study: 145from: 200 successful	time increment: 0.07804727554321289	 total time: 14.758803844451904
study: 146from: 200 successful	time increment: 0.07399606704711914	 total time: 14.832799911499023
study: 147from: 200 successful	time increment: 0.06477022171020508	 total time: 14.897570133209229
study: 148from: 200 successful	time increment: 0.2390151023864746	 total time: 15.136585235595703
study: 149from: 200 successful	time increment: 0.1438605785369873	 total time: 15.28044581413269
study: 150from: 200 successful	time increment: 0.14693427085876465	 total time: 15.427380084991455
study: 151from: 200 successful	time increment: 0.14148616790771484	 total time: 15.56886625289917
